X: (Hz),Y: (A)
0,1.14552
16666.7,1.60513
33333.3,0.480541
50000,0.344694
66666.7,0.513962
83333.3,0.573697
100000,0.529452
116667,0.417992
133333,0.276284
150000,0.149641
166667,0.0773848
183333,0.091874
200000,0.0926571
216667,0.0589103
233333,0.0185966
250000,0.0744011
266667,0.134983
283333,0.164124
300000,0.1731
316667,0.142267
333333,0.105497
350000,0.0616251
366667,0.0516646
383333,0.0579932
400000,0.0533914
416667,0.0329218
433333,0.00673311
450000,0.0425798
466667,0.0757946
483333,0.0990154
500000,0.0970616
516667,0.0878473
533333,0.0621883
550000,0.0448287
566667,0.0417838
583333,0.0441279
600000,0.0424561
616667,0.02451
633333,0.00519429
650000,0.0305288
666667,0.0518592
683333,0.0662221
700000,0.0684108
716667,0.0563272
733333,0.0438326
750000,0.0368532
766667,0.0363011
783333,0.0424346
800000,0.0337628
816667,0.0241686
833333,0.0122608
850000,0.0203416
866667,0.0407175
883333,0.0478589
900000,0.0500406
916667,0.0415929
933333,0.0354175
950000,0.0292654
966667,0.0380683
983333,0.0351661
1e+06,0.0345174
1.01667e+06,0.0196472
1.03333e+06,0.00935878
1.05e+06,0.0216135
1.06667e+06,0.0276042
1.08333e+06,0.0392255
1.1e+06,0.0362576
1.11667e+06,0.0350907
1.13333e+06,0.0263868
1.15e+06,0.0326789
1.16667e+06,0.0305171
1.18333e+06,0.037612
1.2e+06,0.0277713
1.21667e+06,0.0230351
1.23333e+06,0.010871
1.25e+06,0.0113311
1.26667e+06,0.0253312
1.28333e+06,0.0260336
1.3e+06,0.0318895
1.31667e+06,0.0231207
1.33333e+06,0.0273283
1.35e+06,0.0251608
1.36667e+06,0.0353371
1.38333e+06,0.0298777
1.4e+06,0.0320679
1.41667e+06,0.0171852
1.43333e+06,0.0121782
1.45e+06,0.0132489
1.46667e+06,0.0153143
1.48333e+06,0.0246856
1.5e+06,0.01834
1.51667e+06,0.0234995
1.53333e+06,0.0195053
1.55e+06,0.0294461
1.56667e+06,0.0285916
1.58333e+06,0.0341057
1.6e+06,0.0243794
1.61667e+06,0.021312
1.63333e+06,0.00686114
1.65e+06,0.00782369
1.66667e+06,0.0159843
1.68333e+06,0.0140773
1.7e+06,0.0193295
1.71667e+06,0.0146744
1.73333e+06,0.0224793
1.75e+06,0.0237657
1.76667e+06,0.0312567
1.78333e+06,0.0278887
1.8e+06,0.0279113
1.81667e+06,0.0158777
1.83333e+06,0.0118208
1.85e+06,0.00555411
1.86667e+06,0.00755948
1.88333e+06,0.0142736
1.9e+06,0.0108087
1.91667e+06,0.0156963
1.93333e+06,0.0182389
1.95e+06,0.0245913
1.96667e+06,0.0276652
1.98333e+06,0.0298341
2e+06,0.0232282
2.01667e+06,0.0189472
2.03333e+06,0.00570626
2.05e+06,0.00631153
2.06667e+06,0.00733644
2.08333e+06,0.00743064
2.1e+06,0.0101939
2.11667e+06,0.01321
2.13333e+06,0.0182446
2.15e+06,0.0250836
2.16667e+06,0.0274262
2.18333e+06,0.0267025
2.2e+06,0.0227668
2.21667e+06,0.0147688
2.23333e+06,0.0112178
2.25e+06,0.000893341
2.26667e+06,0.00411977
2.28333e+06,0.00516306
2.3e+06,0.00866102
2.31667e+06,0.0106563
2.33333e+06,0.0199021
2.35e+06,0.0210367
2.36667e+06,0.0264913
2.38333e+06,0.0238163
2.4e+06,0.0207715
2.41667e+06,0.0148684
2.43333e+06,0.00796179
2.45e+06,0.0049934
2.46667e+06,0.00204953
2.48333e+06,0.00507299
2.5e+06,0.00304669
2.51667e+06,0.0135498
2.53333e+06,0.0149153
2.55e+06,0.0242251
2.56667e+06,0.0213568
2.58333e+06,0.0237468
2.6e+06,0.0175545
2.61667e+06,0.0148937
2.63333e+06,0.00819832
2.65e+06,0.00613301
2.66667e+06,0.0022942
2.68333e+06,0.00193372
2.7e+06,0.00841578
2.71667e+06,0.00883465
2.73333e+06,0.0197355
2.75e+06,0.0179421
2.76667e+06,0.0246623
2.78333e+06,0.0187554
2.8e+06,0.0202836
2.81667e+06,0.0111482
2.83333e+06,0.011105
2.85e+06,0.00396897
2.86667e+06,0.00610179
2.88333e+06,0.00473613
2.9e+06,0.00552668
2.91667e+06,0.0130118
2.93333e+06,0.0131397
2.95e+06,0.0220378
2.96667e+06,0.01835
2.98333e+06,0.0218041
3e+06,0.0140009
3.01667e+06,0.0153182
3.03333e+06,0.00721564
3.05e+06,0.0104373
3.06667e+06,0.00358204
3.08333e+06,0.00772836
3.1e+06,0.00775755
3.11667e+06,0.0101428
3.13333e+06,0.0173562
3.15e+06,0.0154308
3.16667e+06,0.0209615
3.18333e+06,0.014976
3.2e+06,0.0178396
3.21667e+06,0.00988117
3.23333e+06,0.0135207
3.25e+06,0.00678302
3.26667e+06,0.0107191
3.28333e+06,0.00496518
3.3e+06,0.00922115
3.31667e+06,0.0115689
3.33333e+06,0.014145
3.35e+06,0.0187731
3.36667e+06,0.0154762
3.38333e+06,0.0190135
3.4e+06,0.0122941
3.41667e+06,0.0147854
3.43333e+06,0.00958676
3.45e+06,0.0131581
3.46667e+06,0.00738806
3.48333e+06,0.0118346
3.5e+06,0.00707701
3.51667e+06,0.0133713
3.53333e+06,0.0139467
3.55e+06,0.0153904
3.56667e+06,0.0182617
3.58333e+06,0.0156923
3.6e+06,0.0174034
3.61667e+06,0.0127339
3.63333e+06,0.0152894
3.65e+06,0.0109365
3.66667e+06,0.0143664
3.68333e+06,0.0075255
3.7e+06,0.0163434
3.71667e+06,0.0107479
3.73333e+06,0.0196454
3.75e+06,0.0150699
3.76667e+06,0.0193326
3.78333e+06,0.0148847
3.8e+06,0.015773
3.81667e+06,0.0115414
3.83333e+06,0.0112158
3.85e+06,0.00866016
3.86667e+06,0.00786502
3.88333e+06,0.00764288
3.9e+06,0.00516144
3.91667e+06,0.0103283
3.93333e+06,0.0095955
3.95e+06,0.0123363
3.96667e+06,0.0109092
3.98333e+06,0.0118319
4e+06,0.0095591
4.01667e+06,0.0102853
4.03333e+06,0.00858137
4.05e+06,0.00989256
4.06667e+06,0.00905861
4.08333e+06,0.00677931
4.1e+06,0.00917068
4.11667e+06,0.00655365
4.13333e+06,0.010702
4.15e+06,0.00784431
4.16667e+06,0.0115708
4.18333e+06,0.00893845
4.2e+06,0.0119577
4.21667e+06,0.00903388
4.23333e+06,0.012191
4.25e+06,0.0100538
4.26667e+06,0.0106254
4.28333e+06,0.00909487
4.3e+06,0.00727949
4.31667e+06,0.00904266
4.33333e+06,0.00654076
4.35e+06,0.0115726
4.36667e+06,0.00743816
4.38333e+06,0.0109699
4.4e+06,0.00769619
4.41667e+06,0.0127302
4.43333e+06,0.00937242
4.45e+06,0.0122314
4.46667e+06,0.00941083
4.48333e+06,0.00984984
4.5e+06,0.00797831
4.51667e+06,0.00653178
4.53333e+06,0.00877313
4.55e+06,0.00639305
4.56667e+06,0.0103354
4.58333e+06,0.00657998
4.6e+06,0.0114781
4.61667e+06,0.00813067
4.63333e+06,0.0130288
4.65e+06,0.00926341
4.66667e+06,0.0125755
4.68333e+06,0.008111
4.7e+06,0.0086709
4.71667e+06,0.00732793
4.73333e+06,0.00645005
4.75e+06,0.0086044
4.76667e+06,0.0065546
4.78333e+06,0.00982087
4.8e+06,0.00799533
4.81667e+06,0.0131966
4.83333e+06,0.00883141
4.85e+06,0.0133505
4.86667e+06,0.00872744
4.88333e+06,0.0109684
4.9e+06,0.00695497
4.91667e+06,0.00829749
4.93333e+06,0.00682678
4.95e+06,0.00676731
4.96667e+06,0.00827946
4.98333e+06,0.00821356
5e+06,0.0108863
5.01667e+06,0.00938041
5.03333e+06,0.0127788
5.05e+06,0.00931684
5.06667e+06,0.0120078
5.08333e+06,0.0064771
5.1e+06,0.0100663
5.11667e+06,0.00561414
5.13333e+06,0.00778209
5.15e+06,0.00646168
5.16667e+06,0.00819649
5.18333e+06,0.00771938
5.2e+06,0.00947448
5.21667e+06,0.0113931
5.23333e+06,0.0101966
5.25e+06,0.0120044
5.26667e+06,0.00900476
5.28333e+06,0.0111067
5.3e+06,0.00573723
5.31667e+06,0.00941994
5.33333e+06,0.00422674
5.35e+06,0.00806226
5.36667e+06,0.00636249
5.38333e+06,0.00992794
5.4e+06,0.00892294
5.41667e+06,0.010911
5.43333e+06,0.0110647
5.45e+06,0.00935879
5.46667e+06,0.0108577
5.48333e+06,0.00760085
5.5e+06,0.00987598
5.51667e+06,0.00512635
5.53333e+06,0.00902852
5.55e+06,0.00551638
5.56667e+06,0.0100422
5.58333e+06,0.00704865
5.6e+06,0.0111006
5.61667e+06,0.00853898
5.63333e+06,0.0105388
5.65e+06,0.0103023
5.66667e+06,0.00944093
5.68333e+06,0.01006
5.7e+06,0.0072217
5.71667e+06,0.00852165
5.73333e+06,0.00562172
5.75e+06,0.00929226
5.76667e+06,0.00529282
5.78333e+06,0.0106574
5.8e+06,0.00765288
5.81667e+06,0.0112575
5.83333e+06,0.0085944
5.85e+06,0.0107389
5.86667e+06,0.0085778
5.88333e+06,0.00914471
5.9e+06,0.00871925
5.91667e+06,0.00744176
5.93333e+06,0.00836051
5.95e+06,0.00641884
5.96667e+06,0.0101572
5.98333e+06,0.00698036
6e+06,0.0106994
6.01667e+06,0.00662185
6.03333e+06,0.0108385
6.05e+06,0.00736258
6.06667e+06,0.00985651
6.08333e+06,0.00797193
6.1e+06,0.00875719
6.11667e+06,0.00769949
6.13333e+06,0.00820442
6.15e+06,0.0083668
6.16667e+06,0.00717453
6.18333e+06,0.00978034
6.2e+06,0.00726182
6.21667e+06,0.0114546
6.23333e+06,0.00776664
6.25e+06,0.0112527
6.26667e+06,0.00612676
6.28333e+06,0.00948252
6.3e+06,0.00660164
6.31667e+06,0.00952084
6.33333e+06,0.00739954
6.35e+06,0.00862024
6.36667e+06,0.00864171
6.38333e+06,0.00790867
6.4e+06,0.00987612
6.41667e+06,0.00709798
6.43333e+06,0.0101104
6.45e+06,0.00666537
6.46667e+06,0.0101184
6.48333e+06,0.00555339
6.5e+06,0.00944846
6.51667e+06,0.00665218
6.53333e+06,0.0100604
6.55e+06,0.00689588
6.56667e+06,0.00871352
6.58333e+06,0.00867409
6.6e+06,0.008454
6.61667e+06,0.00931324
6.63333e+06,0.00672041
6.65e+06,0.00914271
6.66667e+06,0.00561887
6.68333e+06,0.00965816
6.7e+06,0.00680754
6.71667e+06,0.0104074
6.73333e+06,0.00666093
6.75e+06,0.0102685
6.76667e+06,0.00663681
6.78333e+06,0.00901054
6.8e+06,0.00731245
6.81667e+06,0.00792987
6.83333e+06,0.00772978
6.85e+06,0.00700263
6.86667e+06,0.00876166
6.88333e+06,0.00588251
6.9e+06,0.00994985
6.91667e+06,0.00700175
6.93333e+06,0.0110873
6.95e+06,0.00648184
6.96667e+06,0.00970958
6.98333e+06,0.00638759
7e+06,0.00822409
7.01667e+06,0.00647178
7.03333e+06,0.00782921
7.05e+06,0.00776661
7.06667e+06,0.00739946
7.08333e+06,0.00942349
7.1e+06,0.00775878
7.11667e+06,0.0100274
7.13333e+06,0.00695297
7.15e+06,0.0107963
7.16667e+06,0.00608749
7.18333e+06,0.00919537
7.2e+06,0.00534892
7.21667e+06,0.00910843
7.23333e+06,0.00558558
7.25e+06,0.00793888
7.26667e+06,0.00705272
7.28333e+06,0.00776609
7.3e+06,0.00879228
7.31667e+06,0.00734149
7.33333e+06,0.0098205
7.35e+06,0.00724011
7.36667e+06,0.0101709
7.38333e+06,0.00524579
7.4e+06,0.00934856
7.41667e+06,0.00537759
7.43333e+06,0.00873507
7.45e+06,0.0056445
7.46667e+06,0.00877803
7.48333e+06,0.00663302
7.5e+06,0.00817302
7.51667e+06,0.00870961
7.53333e+06,0.00845103
7.55e+06,0.00865372
7.56667e+06,0.00617745
7.58333e+06,0.00861778
7.6e+06,0.00546889
7.61667e+06,0.00880933
7.63333e+06,0.00506838
7.65e+06,0.00884286
7.66667e+06,0.00522661
7.68333e+06,0.00974452
7.7e+06,0.00650979
7.71667e+06,0.00912756
7.73333e+06,0.00843274
7.75e+06,0.00833773
7.76667e+06,0.00920645
7.78333e+06,0.00742238
7.8e+06,0.00858551
7.81667e+06,0.00577545
7.83333e+06,0.0089611
7.85e+06,0.00543086
7.86667e+06,0.00921143
7.88333e+06,0.0054856
7.9e+06,0.0100695
7.91667e+06,0.00716403
7.93333e+06,0.00956242
7.95e+06,0.00748803
7.96667e+06,0.00802468
7.98333e+06,0.00720903
8e+06,0.00678762
8.01667e+06,0.00816115
8.03333e+06,0.00674947
8.05e+06,0.00824769
8.06667e+06,0.00487541
8.08333e+06,0.00933193
8.1e+06,0.0058533
8.11667e+06,0.0098973
8.13333e+06,0.00655862
8.15e+06,0.0094525
8.16667e+06,0.00617544
8.18333e+06,0.00859135
8.2e+06,0.00672331
8.21667e+06,0.00729234
8.23333e+06,0.00788634
8.25e+06,0.0071905
8.26667e+06,0.00898024
8.28333e+06,0.00585095
8.3e+06,0.00985486
8.31667e+06,0.00592402
8.33333e+06,0.00982484
8.35e+06,0.00608544
8.36667e+06,0.00960977
8.38333e+06,0.00648421
8.4e+06,0.00948154
8.41667e+06,0.00678074
8.43333e+06,0.00757245
8.45e+06,0.00757299
8.46667e+06,0.00709738
8.48333e+06,0.00817558
8.5e+06,0.00681642
8.51667e+06,0.00963731
8.53333e+06,0.00544597
8.55e+06,0.0092982
8.56667e+06,0.00548075
8.58333e+06,0.00939691
8.6e+06,0.00611035
8.61667e+06,0.00954232
8.63333e+06,0.00598543
8.65e+06,0.00820344
8.66667e+06,0.00765507
8.68333e+06,0.0075171
8.7e+06,0.00803277
8.71667e+06,0.00628306
8.73333e+06,0.00888752
8.75e+06,0.00612695
8.76667e+06,0.00949576
8.78333e+06,0.00562968
8.8e+06,0.00994868
8.81667e+06,0.00613611
8.83333e+06,0.00896571
8.85e+06,0.00661064
8.86667e+06,0.00868743
8.88333e+06,0.00727296
8.9e+06,0.0075023
8.91667e+06,0.00811404
8.93333e+06,0.00686658
8.95e+06,0.00874772
8.96667e+06,0.00657424
8.98333e+06,0.00952525
9e+06,0.00646464
9.01667e+06,0.00976307
9.03333e+06,0.00575825
9.05e+06,0.00921558
9.06667e+06,0.0049779
9.08333e+06,0.00821749
9.1e+06,0.00647919
9.11667e+06,0.00771606
9.13333e+06,0.00740211
9.15e+06,0.00712198
9.16667e+06,0.0088118
9.18333e+06,0.00789171
9.2e+06,0.00957802
9.21667e+06,0.00683705
9.23333e+06,0.00954542
9.25e+06,0.00554883
9.26667e+06,0.00811832
9.28333e+06,0.00452942
9.3e+06,0.00791069
9.31667e+06,0.00572411
9.33333e+06,0.00804111
9.35e+06,0.00765616
9.36667e+06,0.00852864
9.38333e+06,0.00860856
9.4e+06,0.00885752
9.41667e+06,0.00936109
9.43333e+06,0.00663827
9.45e+06,0.00864173
9.46667e+06,0.0043802
9.48333e+06,0.00840832
9.5e+06,0.00483376
9.51667e+06,0.00804985
9.53333e+06,0.00528212
9.55e+06,0.00882429
9.56667e+06,0.00680095
9.58333e+06,0.00895072
9.6e+06,0.00869609
9.61667e+06,0.00840497
9.63333e+06,0.00833265
9.65e+06,0.00606285
9.66667e+06,0.00818428
9.68333e+06,0.00458844
9.7e+06,0.00763629
9.71667e+06,0.00471693
9.73333e+06,0.00886537
9.75e+06,0.00588335
9.76667e+06,0.00987878
9.78333e+06,0.00743656
9.8e+06,0.0098314
9.81667e+06,0.00811832
9.83333e+06,0.00806727
9.85e+06,0.00738772
9.86667e+06,0.00565674
9.88333e+06,0.00739178
9.9e+06,0.00490942
9.91667e+06,0.00861185
9.93333e+06,0.00534414
